Opponent,Oregon 1Q,Oregon 2Q,Oregon 3Q,Oregon 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
Auburn,14,0,7,0,3,3,7,14
Nevada,7,28,28,14,3,3,0,0
Montana,14,7,7,7,0,0,3,0
Stanford,7,7,0,7,3,0,0,3
Cal,0,0,10,7,7,0,0,0
Colorado,7,17,14,7,3,0,0,0
Washington,7,7,14,7,7,14,10,0
Washington State,9,8,7,13,3,14,3,15
USC,0,28,14,14,10,7,0,7
Arizona,14,7,7,6,0,6,0,0
Arizona State,7,0,0,21,7,3,3,18
Oregon State,10,7,0,7,3,0,0,7
Utah,10,10,3,14,0,0,15,0
Wisconsin,7,7,7,7,10,7,7,3
